Flag,Description,Type,Part,Quantity,UOM,IsVariableQuantity,MinQuantity,MaxQuantity,OptionGroup,OptionGroupPrompt,IsGroupDefault,PriceAdjustment,IsOneTimeItem,IsStage,StageBOMNumber,ConfigurationSortOrder
Item,Add N12S-F-002,Raw Good,N12S-F-002,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,66
BOM,NANO-1000S Sheet-Metal-Components,NANO-1000S Sheet-Metal-Components,TRUE,1,,Never,None,Imported from QuickBooks,,,,,,,,
Item,Create NANO-1000S Sheet-Metal-Components,Finished Good,NANO-1000S Sheet-Metal-Components,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,4
Item,Add N1S-F-001,Raw Good,N1S-F-001,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,1
Item,Add N1S-F-003-R1,Raw Good,N1S-F-003-R1,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
BOM,NANO-S Machined-Components,NANO-S Machined-Components,TRUE,1,,Never,None,Imported from QuickBooks,,,,,,,,
Item,Create NANO-S Machined-Components,Finished Good,NANO-S Machined-Components,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,4
Item,Add N1-002PEG-R1,Raw Good,N1-002PEG-R1,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,3
Item,Add N1S-M-004-R1,Raw Good,N1S-M-004-R1,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,3
Item,Add N1S-M-005,Raw Good,N1S-M-005,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,10
Item,Add N1S-M-006-R2,Raw Good,N1S-M-006-R2,4,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,14
Item,Add N1S-M-007,Raw Good,N1S-M-007,4,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,15
Item,Add N1S-M-012-R1,Raw Good,N1S-M-012-R1,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,3
BOM,NANO-1000S_2000S Machined-Components,NANO-1000S_2000S Machined-Components,TRUE,1,,Never,None,Imported from QuickBooks,,,,,,,,
Item,Create NANO-1000S_2000S Machined-Components,Finished Good,NANO-1000S_2000S Machined-Components,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,4
Item,Add N1-002A,Raw Good,N1-002A,2,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,20
Item,Add N1S-M-002-R1,Raw Good,N1S-M-002-R1,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,3
Item,Add N1S-M-003-R1,Raw Good,N1S-M-003-R1,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,3
BOM,NANO-1000S Machined-Components,NANO-1000S Machined-Components,TRUE,1,,Never,None,Imported from QuickBooks,,,,,,,,
Item,Create NANO-1000S Machined-Components,Finished Good,NANO-1000S Machined-Components,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,4
